Ciudad Entidad,Departamento Entidad,Fecha,Valor real,Valor Proyectado,Tamaño valor extraño,Similitud de valor,veces la predicción
QUIMBAYA,QUINDÍO,2023,239.68538601609526,673.4691400140526,-4.784533339188765,29.277638026746114,573.068656835537
QUINCHÍA,RISARALDA,2023,79.31034916692812,136.48955330252653,-0.8368590696245406,3.0723750909119287,92.42651860866759
QUIPILE,CUNDINAMARCA,2023,35.13525350506845,376.7803544998165,-3.1043771139588774,2.439030102372337,0.4852774206987077
QUÍPAMA,BOYACÁ,2023,12.233672533998593,41.98817462921149,-0.3100061697620879,5.552899579848307,11.334089216925191
RAGONVALIA,NORTE DE SANTANDER,2023,1.82434640306535,8.07695960998535,-0.06191929526631976,0.73245211828638,0.22587043778329097
RAMIRIQUÍ,BOYACÁ,2023,605.1347485481465,1673.349254441263,-11.846528723264983,14.111008000639513,207.13284102003794
REMEDIOS,ANTIOQUIA,2023,131.48874604775034,1120.5769350767134,-9.116041308534099,51.0399467330934,474.4580003352835
REMOLINO,MAGDALENA,2023,16.994230192255635,715.1601619601255,-6.107101504232937,8.975630707331073,51.02973051230416
REPELÓN,ATLÁNTICO,2023,9.987029831965048,60.492073535919175,-0.47962792498445933,5.1710566411662295,14.155470635870866
RESTREPO,META,2023,723.1461516416404,991.5799235582356,-5.444625673535045,13.402799032805673,227.67776039962675
RESTREPO,VALLE DEL CAUCA,2023,34.406396898357,140.03569950461377,-1.061539237538077,7.268954373307706,75.19352050163008
RETIRO,ANTIOQUIA,2023,1732.1455416318545,2515.0843318417687,-14.251036656762658,60.12634404215608,1744.8351188718527
RICAURTE,CUNDINAMARCA,2023,5811.2041554026655,4089.629626375437,-10.232566221836862,29.222533651387774,655.2242431547659
RICAURTE,NARIÑO,2023,107.46099548237072,409.9235055953263,-3.0782801841935443,25.187956739425648,279.8866291142853
RIOBLANCO,TOLIMA,2023,101.45690926639034,272.6177652835846,-1.9176049304683698,5.960837624600914,138.9748120716741
RIOFRÍO,VALLE DEL CAUCA,2023,6.317858370624959,86.11782954037184,-0.7169448401133102,2.7989268303154264,16.14060753005681
RIOHACHA,LA GUAJIRA,2023,17442.38774515274,16475.93116673231,-67.01775054495747,161.6869036315966,3385.8072888397733
RIONEGRO,ANTIOQUIA,2023,29282.737552545077,12327.766437379274,19.994542500495573,232.0428313232483,4607.314177290402
RIONEGRO,SANTANDER,2023,52.68046944856415,340.1816221237181,-2.71227032117122,10.617484777277758,87.06831740842475
RIOSUCIO,CALDAS,2023,401.56752437438996,689.3696605443957,-4.222441923411517,20.37336588119531,475.0290091978642
RISARALDA,CALDAS,2023,1537.413220091938,894.5123683929438,-1.0872346296464004,11.948735356306877,345.5814032253665
RIVERA,HUILA,2023,309.3077418531793,967.8860596656796,-7.028090042601274,9.41174913234501,57.77163312177724
ROBERTO PAYÁN,NARIÑO,2023,69.08433118386253,132.98012916147707,-0.8507175209699338,4.457867356014425,96.54598064398144
ROLDANILLO,VALLE DEL CAUCA,2023,1224.3191343412523,1374.9774783313273,-6.592401333816919,17.19143530593253,620.8104540651069
RONCESVALLES,TOLIMA,2023,35.73796168825943,41.96984429359433,-0.20828373590315247,3.8116312487630113,159.42250279090555
RONDÓN,BOYACÁ,2023,0.231423383539375,24.5534553527832,-0.21119511163707075,0.480824921954186,0.00942528781445592
ROSAS,CAUCA,2023,5.466366115931675,62.12576494216919,-0.513280732273954,2.5586307399709103,21.817937217491227
ROVIRA,TOLIMA,2023,113.1416274836096,269.1917129516602,-1.8375057520812639,6.531965731890788,120.70243812035454
RÁQUIRA,BOYACÁ,2023,4.906820013734529,18.7918876647949,-0.14119988575093784,0.5141935904824492,22.245032044179567
RÍO DE ORO,CESAR,2023,33.06996226619478,205.20160288810735,-1.6304888371222814,13.288369762482219,48.89466741938626
RÍO VIEJO,BOLÍVAR,2023,3.8746985682614126,1.4438908338546799,0.004264551340742688,0.5487810677572815,16.059379758628253
SABANA DE TORRES,SANTANDER,2023,165.86181126759962,532.5342124581337,-3.885547777827182,19.22936114114407,298.3796795765146
SABANAGRANDE,ATLÁNTICO,2023,9.233944585537298,4.732339632511135,-0.000997024051572184,1.2282111214675842,23.523029210184486
SABANALARGA,ANTIOQUIA,2023,61.44342949516391,293.13252210319047,-2.2677985546863355,6.65180598577347,120.4280573364091
