,Departamento Entidad,Ciudad Entidad
1854,SANTANDER,MÁLAGA
1855,NARIÑO,RICAURTE
1863,CESAR,AGUACHICA
1880,CUNDINAMARCA,EL COLEGIO
1887,TOLIMA,ORTEGA
1894,MAGDALENA,GUAMAL
1896,RISARALDA,LA VIRGINIA
1935,NARIÑO,GUALMATÁN
1949,CAUCA,TORIBIO
1963,SANTANDER,BARBOSA
1980,NARIÑO,SANDONÁ
1983,CÓRDOBA,SAHAGÚN
1989,LA GUAJIRA,DIBULLA
1991,NARIÑO,EL CHARCO
2002,CUNDINAMARCA,ZIPAQUIRÁ
2020,TOLIMA,AMBALEMA
2044,CUNDINAMARCA,TOCANCIPÁ
2052,CALDAS,CHINCHINÁ
2054,ANTIOQUIA,REMEDIOS
2065,ANTIOQUIA,VENECIA
2070,TOLIMA,LÉRIDA
2086,NARIÑO,POLICARPA
2087,NARIÑO,LINARES
2095,CUNDINAMARCA,CAJICÁ
2103,CÓRDOBA,PUERTO ESCONDIDO
2126,VALLE DEL CAUCA,JAMUNDÍ
2142,CUNDINAMARCA,GACHALA
2151,NARIÑO,ILES
2152,NORTE DE SANTANDER,SALAZAR
2156,NARIÑO,SAN PEDRO DE CARTAGO
2191,HUILA,OPORAPA
2193,CAQUETÁ,EL PAUJIL
2209,NORTE DE SANTANDER,CHINÁCOTA
2212,CALDAS,MANZANARES
2217,NORTE DE SANTANDER,TIBÚ
2232,ATLÁNTICO,SABANALARGA
2233,QUINDÍO,FILANDIA
2252,CASANARE,AGUAZUL
2273,NORTE DE SANTANDER,GRAMALOTE
2274,ANTIOQUIA,JERICÓ
2280,ATLÁNTICO,POLONUEVO
2291,BOLÍVAR,TIQUISIO
2292,SANTANDER,MOLAGAVITA
2295,NORTE DE SANTANDER,HACARÍ
2300,ANTIOQUIA,TOLEDO
2303,BOYACÁ,CÓMBITA
2314,CAUCA,PIENDAMÓ
2323,NARIÑO,LA LLANADA
2335,BOLÍVAR,ARENAL
2344,VALLE DEL CAUCA,EL CERRITO
2350,RISARALDA,SANTA ROSA DE CABAL
2366,SANTANDER,VÉLEZ
2373,ANTIOQUIA,NECOCLÍ
2381,SANTANDER,ZAPATOCA
2382,CAQUETÁ,BELÉN DE LOS ANDAQUIES
2413,CUNDINAMARCA,RICAURTE
2438,VALLE DEL CAUCA,LA CUMBRE
2459,CUNDINAMARCA,CHOCONTÁ
2466,HUILA,RIVERA
2471,ANTIOQUIA,SAN ROQUE
2488,CALDAS,MARQUETALIA
2492,QUINDÍO,BUENAVISTA
2501,PUTUMAYO,LEGUÍZAMO
2513,NARIÑO,MALLAMA
2514,ANTIOQUIA,EL SANTUARIO
2540,PUTUMAYO,SIBUNDOY
2549,CESAR,BOSCONIA
2554,SUCRE,SAN JUAN DE BETULIA
2581,NARIÑO,NARIÑO
2612,CESAR,RÍO DE ORO
2615,SANTANDER,ENCISO
2634,LA GUAJIRA,HATONUEVO
2641,NARIÑO,BARBACOAS
2648,SUCRE,LA UNIÓN
2746,ARAUCA,TAME
2756,MAGDALENA,SAN SEBASTIÁN DE BUENAVISTA
2773,META,CUBARRAL
2790,BOLÍVAR,MAGANGUÉ
2791,SANTANDER,SAN JOAQUÍN
2804,SANTANDER,SAN ANDRÉS
2811,NARIÑO,EL TABLÓN DE GÓMEZ
2824,ANTIOQUIA,URRAO
2828,VAUPÉS,MITÚ
2839,ATLÁNTICO,JUAN DE ACOSTA
2842,NARIÑO,ALDANA
2846,VALLE DEL CAUCA,ROLDANILLO
2883,VALLE DEL CAUCA,OBANDO
2888,ANTIOQUIA,SAN FRANCISCO
2893,CASANARE,TAURAMENA
2895,QUINDÍO,CIRCASIA
2899,TOLIMA,ARMERO
2903,CAUCA,CALOTO
2926,BOYACÁ,UMBITA
2942,LA GUAJIRA,SAN JUAN DEL CESAR
2945,TOLIMA,VILLAHERMOSA
2950,SANTANDER,MATANZA
2958,HUILA,LA ARGENTINA
2969,BOLÍVAR,ZAMBRANO
2976,ANTIOQUIA,ANDES
3033,CALDAS,SAN JOSÉ
3036,ATLÁNTICO,BARANOA
3064,CAUCA,CORINTO
3086,CUNDINAMARCA,VILLETA
3087,CÓRDOBA,CHIMÁ
3118,ANTIOQUIA,PUEBLORRICO
3153,META,GRANADA
3170,BOYACÁ,SAN LUIS DE GACENO
3184,ANTIOQUIA,CONCORDIA
3194,HUILA,ISNOS
3218,BOYACÁ,TIBANÁ
3224,BOYACÁ,MIRAFLORES
3239,ATLÁNTICO,SABANAGRANDE
3248,CAQUETÁ,CARTAGENA DEL CHAIRÁ
3293,NARIÑO,SAN BERNARDO
3299,CALDAS,SALAMINA
3313,CALDAS,RISARALDA
3346,VALLE DEL CAUCA,LA VICTORIA
3353,VALLE DEL CAUCA,ANDALUCÍA
3370,ANTIOQUIA,FREDONIA
3373,SANTANDER,MOGOTES
3377,NARIÑO,FUNES
3405,SUCRE,NO DEFINIDO
3446,CALDAS,LA MERCED
3496,NARIÑO,ALBÁN
3514,CÓRDOBA,AYAPEL
3574,CAUCA,PATÍA
3580,META,SAN MARTÍN
3610,ATLÁNTICO,SANTO TOMÁS
3623,SUCRE,GUARANDA
3629,ANTIOQUIA,YONDÓ
3631,LA GUAJIRA,MANAURE
3669,SANTANDER,SANTA HELENA DEL OPÓN
3704,CUNDINAMARCA,LA CALERA
3717,HUILA,IQUIRA
3724,BOLÍVAR,SAN JACINTO
3726,CESAR,BECERRIL
3731,TOLIMA,PALOCABILDO
3786,MAGDALENA,SAN ZENÓN
3800,CUNDINAMARCA,TABIO
3818,META,CUMARAL
3836,NARIÑO,GUACHUCAL
3845,CHOCÓ,NO DEFINIDO
3847,SANTANDER,LOS SANTOS
3858,ANTIOQUIA,TARSO
3866,ANTIOQUIA,BARBOSA
3921,CESAR,LA GLORIA
3963,BOYACÁ,SUSACÓN
3969,SANTANDER,CIMITARRA
3982,RISARALDA,MISTRATÓ
4013,HUILA,TIMANÁ
4018,VALLE DEL CAUCA,BUGALAGRANDE
4023,RISARALDA,MARSELLA
4028,BOLÍVAR,MONTECRISTO
4077,BOYACÁ,VILLA DE LEYVA
4098,VALLE DEL CAUCA,SEVILLA
4110,CALDAS,ANSERMA
4150,VALLE DEL CAUCA,ANSERMANUEVO
4171,BOYACÁ,QUÍPAMA
4180,HUILA,LA PLATA
4225,CALDAS,SUPÍA
4252,ATLÁNTICO,SANTA LUCÍA
4288,META,PUERTO LÓPEZ
4307,LA GUAJIRA,URIBIA
4330,CÓRDOBA,TIERRALTA
4332,ANTIOQUIA,SAN RAFAEL
4333,MAGDALENA,SANTA BÁRBARA DE PINTO
4345,BOLÍVAR,BARRANCO DE LOBA
4351,CÓRDOBA,CIÉNAGA DE ORO
4360,MAGDALENA,SABANAS DE SAN ANGEL
4415,NORTE DE SANTANDER,LOS PATIOS
4423,BOLÍVAR,MAHATES
4429,NARIÑO,FRANCISCO PIZARRO
4459,VAUPÉS,NO DEFINIDO
4527,NARIÑO,BUESACO
4546,BOYACÁ,SÁCHICA
4582,CESAR,MANAURE
4590,BOLÍVAR,EL CARMEN DE BOLÍVAR
4594,CASANARE,OROCUÉ
4623,CESAR,GAMARRA
4650,CAUCA,BOLÍVAR
4760,VALLE DEL CAUCA,TRUJILLO
4772,ANTIOQUIA,CHIGORODÓ
4789,ATLÁNTICO,GALAPA
4844,BOYACÁ,EL COCUY
4864,ATLÁNTICO,MALAMBO
4882,CUNDINAMARCA,GUATAVITA
4889,BOLÍVAR,ALTOS DEL ROSARIO
4903,SANTANDER,SABANA DE TORRES
4905,DISTRITO CAPITAL DE BOGOTÁ,DISTRITO CAPITAL
4922,CUNDINAMARCA,LA PALMA
4955,SUCRE,SAMPUÉS
4973,HUILA,HOBO
4988,CUNDINAMARCA,NILO
4996,BOLÍVAR,NO DEFINIDO
5033,RISARALDA,BELÉN DE UMBRÍA
5079,SANTANDER,GIRÓN
5092,BOLÍVAR,SAN CRISTÓBAL
5137,HUILA,TERUEL
5147,GUAINÍA,INÍRIDA
5149,TOLIMA,MARIQUITA
5174,CESAR,PELAYA
5214,MAGDALENA,REMOLINO
5230,SUCRE,OVEJAS
5262,NARIÑO,ANCUYÁ
5316,ANTIOQUIA,ANORÍ
5328,BOYACÁ,AQUITANIA
5348,BOYACÁ,GÜICÁN
5397,HUILA,GIGANTE
5423,CAUCA,JAMBALÓ
5431,NARIÑO,COLÓN
5464,CESAR,PUEBLO BELLO
5494,NARIÑO,PROVIDENCIA
5517,SANTANDER,ARATOCA
5536,ANTIOQUIA,VEGACHÍ
5552,BOYACÁ,BOAVITA
5568,CAUCA,LA VEGA
5570,BOYACÁ,SAN PABLO DE BORBUR
5588,CAUCA,NO DEFINIDO
5621,CAUCA,CAJIBÍO
5636,BOYACÁ,PESCA
5649,BOLÍVAR,PINILLOS
5733,SUCRE,PALMITO
5734,NARIÑO,GUAITARILLA
5753,ANTIOQUIA,DABEIBA
5770,CÓRDOBA,MONTELÍBANO
5878,ANTIOQUIA,CARAMANTA
5918,LA GUAJIRA,DISTRACCIÓN
5928,SUCRE,BUENAVISTA
5931,CÓRDOBA,CANALETE
5943,NARIÑO,PUPIALES
5955,HUILA,SAN AGUSTÍN
5995,BOYACÁ,BELÉN
6046,MAGDALENA,ALGARROBO
6056,SUCRE,TOLÚ VIEJO
6064,NARIÑO,PUERRES
6085,ATLÁNTICO,LURUACO
6100,CAUCA,PUERTO TEJADA
6103,CAUCA,GUACHENÉ
6111,BOLÍVAR,MARÍA LA BAJA
6137,CUNDINAMARCA,SUESCA
6199,SANTANDER,LANDÁZURI
6209,HUILA,ACEVEDO
6269,VALLE DEL CAUCA,RESTREPO
6310,SANTANDER,PUERTO PARRA
6320,SUCRE,GALERAS
6385,VALLE DEL CAUCA,LA UNIÓN
6404,PUTUMAYO,SAN MIGUEL
6454,CUNDINAMARCA,CARMEN DE CARUPA
6479,ANTIOQUIA,COCORNÁ
6489,HUILA,GUADALUPE
6564,ANTIOQUIA,SANTA ROSA DE OSOS
6596,BOLÍVAR,MOMPÓS
6603,SANTANDER,JESÚS MARÍA
6610,BOYACÁ,GARAGOA
6677,BOYACÁ,SANTANA
6699,HUILA,TESALIA
6728,ANTIOQUIA,HISPANIA
6747,SANTANDER,SUAITA
6805,CÓRDOBA,PUEBLO NUEVO
6816,SANTANDER,LEBRÍJA
6854,CAQUETÁ,MILÁN
6866,SANTANDER,OIBA
6878,HUILA,SUAZA
6950,CÓRDOBA,VALENCIA
6966,SUCRE,COVEÑAS
6992,CÓRDOBA,CHINÚ
7011,SUCRE,SAN ONOFRE
7031,BOYACÁ,TOCA
7032,SANTANDER,EL PLAYÓN
7060,TOLIMA,VILLARRICA
7091,CÓRDOBA,LA APARTADA
7093,ANTIOQUIA,GÓMEZ PLATA
7099,CÓRDOBA,SAN ANDRÉS SOTAVENTO
7103,CASANARE,PAZ DE ARIPORO
7152,CUNDINAMARCA,ÚTICA
7208,ANTIOQUIA,TÁMESIS
7258,BOYACÁ,TINJACÁ
7281,CUNDINAMARCA,TAUSA
7296,CESAR,PAILITAS
7299,BOYACÁ,MOTAVITA
7467,BOYACÁ,TURMEQUÉ
7562,CAUCA,SANTANDER DE QUILICHAO
7594,SANTANDER,JORDÁN
7621,CUNDINAMARCA,TENA
7715,NARIÑO,SANTACRUZ
7736,HUILA,NÁTAGA
7747,CÓRDOBA,COTORRA
7808,QUINDÍO,SALENTO
7810,CALDAS,BELALCÁZAR
7945,CAUCA,TIMBÍO
7962,CÓRDOBA,SAN BERNARDO DEL VIENTO
7990,CÓRDOBA,PLANETA RICA
8059,SANTANDER,SIMACOTA
8086,TOLIMA,GUAMO
8148,ANTIOQUIA,BETULIA
8190,CALDAS,VICTORIA
8203,SANTANDER,ALBANIA
8204,CUNDINAMARCA,GACHETÁ
